aX,aY,aZ,gX,gY,gZ
9.22, -0.49, -0.46, -0.09, 0.23, 0.04
10.33, -0.33, 1.04, -0.08, 0.41, 0.00
10.31, -0.39, 0.97, -0.08, 0.30, -0.00
10.37, -0.26, 1.24, -0.09, 0.17, -0.02
10.41, -0.23, 1.45, -0.09, 0.06, -0.01
10.42, -0.23, 1.43, -0.10, -0.10, -0.01
10.70, -0.23, 1.74, -0.10, -0.28, 0.02
9.84, -0.36, 0.48, -0.11, -0.39, 0.06
8.94, -0.31, -0.69, -0.10, -0.07, 0.05
9.62, -0.33, 0.08, -0.08, 0.32, 0.02
10.46, -0.37, 1.38, -0.08, 0.35, 0.01
10.38, -0.25, 1.26, -0.08, 0.28, -0.02
10.29, -0.27, 1.10, -0.09, 0.14, -0.03
10.32, -0.25, 1.27, -0.09, -0.02, -0.03
10.53, -0.23, 1.55, -0.10, -0.14, 0.01
10.60, -0.25, 1.52, -0.11, -0.34, 0.04
9.48, -0.26, -0.05, -0.11, -0.33, 0.07
9.08, -0.31, -0.65, -0.09, 0.05, 0.06
9.93, -0.41, 0.48, -0.08, 0.37, 0.03
10.38, -0.32, 1.14, -0.08, 0.31, -0.02
10.47, -0.33, 1.49, -0.09, 0.24, -0.04
10.33, -0.29, 1.25, -0.09, 0.11, -0.04
10.33, -0.26, 1.21, -0.10, -0.05, -0.02
10.63, -0.21, 1.64, -0.10, -0.20, 0.02
10.25, -0.27, 0.99, -0.11, -0.39, 0.08
9.14, -0.35, -0.49, -0.10, -0.24, 0.08
9.19, -0.39, -0.51, -0.09, 0.18, 0.05
10.40, -0.27, 1.15, -0.08, 0.39, -0.02
10.27, -0.38, 0.94, -0.08, 0.30, -0.03
10.41, -0.26, 1.35, -0.09, 0.18, -0.04
10.41, -0.23, 1.43, -0.09, 0.04, -0.02
10.40, -0.24, 1.34, -0.10, -0.08, -0.00
10.68, -0.24, 1.69, -0.10, -0.26, 0.04
10.01, -0.35, 0.66, -0.11, -0.39, 0.08
8.96, -0.33, -0.69, -0.10, -0.12, 0.06
9.47, -0.42, -0.12, -0.08, 0.28, 0.02
10.46, -0.37, 1.34, -0.08, 0.36, -0.02
10.33, -0.29, 1.08, -0.08, 0.29, -0.03
10.30, -0.29, 1.10, -0.09, 0.13, -0.02
10.37, -0.27, 1.29, -0.09, -0.01, -0.01
10.49, -0.26, 1.51, -0.10, -0.12, 0.01
10.53, -0.26, 1.43, -0.11, -0.35, 0.04
9.58, -0.30, 0.08, -0.11, -0.35, 0.06
9.07, -0.31, -0.61, -0.10, 0.01, 0.04
9.99, -0.42, 0.55, -0.08, 0.38, 0.00
10.45, -0.32, 1.30, -0.08, 0.32, -0.02
10.46, -0.29, 1.45, -0.08, 0.26, -0.02
10.39, -0.26, 1.29, -0.09, 0.11, -0.01
10.31, -0.24, 1.23, -0.09, -0.04, -0.00
10.59, -0.20, 1.66, -0.10, -0.18, 0.01
10.32, -0.25, 1.13, -0.11, -0.38, 0.04
9.24, -0.32, -0.37, -0.11, -0.28, 0.05
9.24, -0.42, -0.43, -0.09, 0.20, 0.04
10.33, -0.34, 1.02, -0.08, 0.40, 0.00
10.29, -0.35, 0.96, -0.08, 0.30, -0.00
10.37, -0.28, 1.30, -0.09, 0.17, -0.01
10.42, -0.26, 1.47, -0.09, 0.06, -0.01
10.36, -0.26, 1.34, -0.09, -0.07, -0.00
10.71, -0.26, 1.73, -0.10, -0.27, 0.02
10.17, -0.34, 0.87, -0.11, -0.40, 0.04
9.00, -0.34, -0.69, -0.10, -0.17, 0.05
9.54, -0.38, -0.09, -0.08, 0.30, 0.03
10.47, -0.28, 1.30, -0.08, 0.39, 0.02
10.30, -0.35, 0.99, -0.08, 0.30, -0.01
10.30, -0.28, 1.13, -0.09, 0.14, -0.03
10.40, -0.24, 1.41, -0.09, 0.01, -0.02
10.45, -0.25, 1.47, -0.10, -0.11, -0.00
10.62, -0.26, 1.60, -0.11, -0.34, 0.04
9.72, -0.30, 0.33, -0.11, -0.38, 0.06
9.02, -0.31, -0.65, -0.10, 0.03, 0.06
9.84, -0.34, 0.38, -0.08, 0.37, 0.02
10.46, -0.37, 1.37, -0.08, 0.35, 0.01
10.47, -0.29, 1.48, -0.08, 0.25, -0.04
10.31, -0.27, 1.22, -0.09, 0.12, -0.04
10.31, -0.25, 1.29, -0.09, -0.03, -0.03
10.62, -0.20, 1.72, -0.10, -0.19, 0.02
10.39, -0.27, 1.25, -0.11, -0.38, 0.06
9.35, -0.28, -0.24, -0.11, -0.32, 0.07
9.12, -0.32, -0.61, -0.09, 0.15, 0.05
10.16, -0.42, 0.83, -0.08, 0.40, 0.01
10.35, -0.28, 1.09, -0.08, 0.31, -0.02
10.46, -0.27, 1.39, -0.09, 0.20, -0.04
10.41, -0.25, 1.39, -0.09, 0.09, -0.04
10.38, -0.25, 1.32, -0.10, -0.07, -0.00
10.69, -0.26, 1.74, -0.10, -0.25, 0.04
10.30, -0.32, 1.09, -0.11, -0.40, 0.08
8.98, -0.36, -0.70, -0.10, -0.15, 0.06
9.40, -0.45, -0.23, -0.09, 0.26, 0.02
10.39, -0.31, 1.16, -0.08, 0.40, -0.02
10.29, -0.33, 1.01, -0.08, 0.29, -0.03
10.31, -0.28, 1.16, -0.09, 0.15, -0.03
10.40, -0.24, 1.44, -0.09, 0.04, -0.03
10.45, -0.22, 1.43, -0.10, -0.11, 0.01
10.66, -0.24, 1.63, -0.10, -0.30, 0.05
9.91, -0.34, 0.47, -0.11, -0.38, 0.08
9.05, -0.33, -0.62, -0.10, -0.02, 0.05
9.76, -0.29, 0.21, -0.08, 0.34, 0.00
10.47, -0.35, 1.34, -0.08, 0.34, -0.02
10.43, -0.29, 1.34, -0.08, 0.27, -0.02
10.30, -0.30, 1.12, -0.09, 0.13, -0.02
10.31, -0.26, 1.22, -0.09, -0.03, -0.00
10.57, -0.22, 1.58, -0.10, -0.16, 0.01
10.49, -0.26, 1.38, -0.11, -0.35, 0.04
9.28, -0.32, -0.29, -0.11, -0.31, 0.05
9.11, -0.29, -0.60, -0.09, 0.10, 0.03
10.01, -0.45, 0.60, -0.08, 0.38, 0.00
10.33, -0.30, 1.09, -0.08, 0.30, -0.00
10.45, -0.29, 1.49, -0.09, 0.22, -0.01
10.37, -0.27, 1.34, -0.09, 0.10, -0.01
10.36, -0.24, 1.30, -0.10, -0.06, -0.01
10.65, -0.22, 1.71, -0.10, -0.21, 0.01
10.30, -0.24, 1.11, -0.11, -0.39, 0.04
9.09, -0.34, -0.55, -0.10, -0.21, 0.05
9.27, -0.46, -0.38, -0.09, 0.21, 0.04
10.40, -0.26, 1.19, -0.08, 0.39, 0.01
10.28, -0.36, 0.96, -0.08, 0.29, -0.00
10.38, -0.24, 1.26, -0.09, 0.17, -0.01
10.40, -0.24, 1.41, -0.09, 0.03, -0.02
10.43, -0.22, 1.37, -0.10, -0.09, -0.01
10.69, -0.25, 1.72, -0.10, -0.27, 0.02
9.89, -0.37, 0.50, -0.11, -0.38, 0.06
8.99, -0.34, -0.68, -0.10, -0.08, 0.05
9.58, -0.38, -0.03, -0.08, 0.30, 0.03
10.46, -0.40, 1.37, -0.08, 0.36, 0.01
10.36, -0.28, 1.17, -0.08, 0.28, -0.02
10.30, -0.29, 1.08, -0.09, 0.14, -0.03
10.35, -0.28, 1.25, -0.09, -0.01, -0.03
10.52, -0.24, 1.53, -0.10, -0.13, 0.00
10.48, -0.25, 1.38, -0.11, -0.35, 0.06
9.53, -0.27, 0.06, -0.11, -0.33, 0.07
9.16, -0.29, -0.47, -0.09, 0.04, 0.05
10.01, -0.41, 0.66, -0.08, 0.37, 0.01
10.38, -0.26, 1.25, -0.08, 0.31, -0.01
10.45, -0.29, 1.51, -0.09, 0.24, -0.04
10.37, -0.23, 1.38, -0.09, 0.10, -0.04
10.29, -0.23, 1.24, -0.09, -0.04, -0.02
10.58, -0.19, 1.62, -0.10, -0.18, 0.02
10.26, -0.23, 1.06, -0.11, -0.37, 0.07
9.17, -0.34, -0.41, -0.10, -0.25, 0.08
9.21, -0.35, -0.46, -0.09, 0.15, 0.05
10.28, -0.30, 0.96, -0.08, 0.38, -0.02
10.24, -0.35, 0.91, -0.08, 0.29, -0.03
10.34, -0.26, 1.21, -0.09, 0.16, -0.03
10.42, -0.25, 1.41, -0.09, 0.05, -0.02
10.39, -0.25, 1.31, -0.10, -0.08, -0.00
10.69, -0.27, 1.70, -0.10, -0.28, 0.05
10.08, -0.36, 0.74, -0.11, -0.39, 0.08
9.01, -0.35, -0.67, -0.10, -0.14, 0.06
9.62, -0.34, 0.04, -0.08, 0.30, 0.00
10.45, -0.34, 1.28, -0.08, 0.38, -0.03
10.28, -0.34, 1.02, -0.08, 0.29, -0.03
10.28, -0.27, 1.12, -0.09, 0.14, -0.02
10.40, -0.24, 1.36, -0.09, 0.00, -0.01
10.47, -0.22, 1.41, -0.10, -0.11, 0.01
10.58, -0.23, 1.52, -0.11, -0.33, 0.04
9.69, -0.29, 0.28, -0.11, -0.36, 0.06
9.10, -0.32, -0.56, -0.10, -0.02, 0.04
9.88, -0.39, 0.41, -0.08, 0.35, 0.01
10.47, -0.35, 1.37, -0.08, 0.34, -0.02
10.47, -0.32, 1.47, -0.09, 0.24, -0.01
10.32, -0.29, 1.22, -0.09, 0.11, -0.01
10.33, -0.30, 1.27, -0.09, -0.03, -0.00
10.64, -0.23, 1.70, -0.10, -0.20, 0.00
10.35, -0.30, 1.18, -0.11, -0.39, 0.04
9.26, -0.34, -0.30, -0.11, -0.30, 0.05
9.18, -0.42, -0.46, -0.09, 0.16, 0.04
10.13, -0.42, 0.75, -0.08, 0.39, 0.01
10.37, -0.30, 1.13, -0.08, 0.31, -0.00
10.46, -0.28, 1.42, -0.09, 0.19, -0.02
10.41, -0.28, 1.40, -0.09, 0.08, -0.02
10.33, -0.24, 1.26, -0.10, -0.06, -0.01
10.67, -0.24, 1.72, -0.10, -0.25, 0.02
10.20, -0.29, 0.97, -0.11, -0.39, 0.04
9.02, -0.32, -0.58, -0.10, -0.12, 0.06
9.45, -0.43, -0.09, -0.09, 0.26, 0.03
10.39, -0.25, 1.17, -0.08, 0.39, 0.01
10.30, -0.30, 1.01, -0.08, 0.29, -0.02
10.31, -0.26, 1.19, -0.09, 0.15, -0.03
10.40, -0.23, 1.43, -0.09, 0.03, -0.02
10.45, -0.24, 1.47, -0.10, -0.12, -0.00
10.62, -0.26, 1.62, -0.11, -0.31, 0.04
9.86, -0.33, 0.46, -0.11, -0.38, 0.05
9.07, -0.35, -0.59, -0.10, -0.00, 0.06
9.75, -0.33, 0.23, -0.08, 0.33, 0.02
10.50, -0.39, 1.37, -0.08, 0.36, 0.01
10.42, -0.29, 1.30, -0.08, 0.26, -0.03
10.31, -0.29, 1.08, -0.09, 0.12, -0.04
10.33, -0.26, 1.21, -0.10, -0.03, -0.02
10.60, -0.23, 1.61, -0.10, -0.17, 0.02
10.44, -0.27, 1.30, -0.11, -0.36, 0.06
9.29, -0.32, -0.28, -0.11, -0.29, 0.08
9.19, -0.30, -0.50, -0.09, 0.11, 0.05
10.00, -0.43, 0.57, -0.08, 0.38, 0.01
10.35, -0.27, 1.09, -0.08, 0.30, -0.03
10.48, -0.26, 1.49, -0.08, 0.22, -0.04
10.38, -0.24, 1.32, -0.09, 0.10, -0.04
10.35, -0.23, 1.28, -0.10, -0.06, 0.00
10.66, -0.21, 1.72, -0.10, -0.22, 0.04
10.38, -0.28, 1.21, -0.11, -0.38, 0.07
9.05, -0.36, -0.60, -0.10, -0.18, 0.06
9.33, -0.45, -0.28, -0.09, 0.22, 0.03
10.29, -0.33, 1.00, -0.08, 0.39, -0.02
10.27, -0.38, 0.93, -0.08, 0.29, -0.03
10.36, -0.27, 1.24, -0.09, 0.16, -0.03
10.40, -0.25, 1.39, -0.09, 0.02, -0.01
10.42, -0.25, 1.37, -0.10, -0.10, 0.01
10.65, -0.27, 1.66, -0.10, -0.28, 0.04
9.81, -0.33, 0.45, -0.11, -0.37, 0.06
9.05, -0.34, -0.59, -0.10, -0.06, 0.05
9.62, -0.34, 0.10, -0.08, 0.30, 0.00
10.45, -0.36, 1.37, -0.08, 0.35, -0.02
10.34, -0.26, 1.18, -0.08, 0.27, -0.02
10.29, -0.28, 1.12, -0.09, 0.14, -0.02
10.32, -0.24, 1.27, -0.09, -0.02, -0.00
10.52, -0.23, 1.55, -0.10, -0.14, 0.01
10.55, -0.26, 1.49, -0.11, -0.33, 0.04
9.46, -0.29, -0.04, -0.11, -0.32, 0.05
9.18, -0.29, -0.46, -0.09, 0.06, 0.04
10.04, -0.43, 0.63, -0.08, 0.37, 0.02
10.39, -0.25, 1.19, -0.08, 0.30, -0.00
10.46, -0.28, 1.49, -0.08, 0.24, -0.01
10.38, -0.23, 1.36, -0.09, 0.09, -0.02
10.33, -0.22, 1.22, -0.10, -0.05, -0.01
10.61, -0.20, 1.63, -0.10, -0.19, 0.00
10.34, -0.28, 1.17, -0.11, -0.38, 0.05
9.16, -0.36, -0.45, -0.10, -0.23, 0.05
9.26, -0.41, -0.38, -0.09, 0.17, 0.04
10.31, -0.31, 1.01, -0.08, 0.38, 0.01
10.25, -0.38, 0.91, -0.08, 0.29, -0.00
10.43, -0.27, 1.37, -0.04, 0.09, -0.01
10.42, -0.25, 1.43, -0.09, 0.05, -0.03
10.38, -0.24, 1.33, -0.10, -0.08, -0.01
10.66, -0.26, 1.67, -0.10, -0.28, 0.03
9.99, -0.33, 0.66, -0.11, -0.38, 0.06
9.04, -0.31, -0.61, -0.10, -0.11, 0.06
9.68, -0.33, 0.14, -0.08, 0.30, 0.02
10.45, -0.34, 1.32, -0.08, 0.36, 0.01
10.30, -0.30, 1.00, -0.08, 0.28, -0.02
10.30, -0.28, 1.10, -0.09, 0.13, -0.04
10.36, -0.26, 1.32, -0.09, -0.00, -0.03
10.45, -0.24, 1.48, -0.10, -0.11, -0.00
10.53, -0.27, 1.47, -0.11, -0.33, 0.06
9.65, -0.30, 0.21, -0.11, -0.35, 0.07
9.14, -0.37, -0.51, -0.10, 0.00, 0.05
9.92, -0.44, 0.50, -0.08, 0.36, 0.01
10.45, -0.34, 1.30, -0.08, 0.32, -0.01
10.42, -0.31, 1.36, -0.09, 0.26, -0.03
10.34, -0.29, 1.22, -0.09, 0.11, -0.04
10.31, -0.27, 1.18, -0.10, -0.03, -0.02
10.61, -0.21, 1.62, -0.10, -0.20, 0.03
10.34, -0.26, 1.13, -0.11, -0.37, 0.07
9.24, -0.33, -0.35, -0.11, -0.28, 0.07
9.28, -0.42, -0.39, -0.09, 0.18, 0.03
10.21, -0.38, 0.86, -0.08, 0.39, -0.01
10.31, -0.34, 1.06, -0.08, 0.29, -0.03
10.41, -0.26, 1.39, -0.09, 0.18, -0.03
10.41, -0.24, 1.43, -0.09, 0.07, -0.02
10.32, -0.23, 1.23, -0.10, -0.05, -0.02
10.69, -0.23, 1.72, -0.10, -0.25, 0.04
10.19, -0.28, 0.93, -0.11, -0.39, 0.07
9.12, -0.33, -0.51, -0.10, -0.17, 0.06
9.54, -0.40, -0.01, -0.08, 0.27, 0.01
10.39, -0.26, 1.21, -0.08, 0.37, -0.03
10.30, -0.28, 1.07, -0.08, 0.28, -0.03
10.30, -0.27, 1.10, -0.09, 0.14, -0.02
10.39, -0.27, 1.39, -0.09, 0.02, -0.01
10.49, -0.29, 1.48, -0.10, -0.12, 0.00
10.64, -0.28, 1.61, -0.10, -0.32, 0.04
9.81, -0.35, 0.40, -0.11, -0.38, 0.06
9.12, -0.35, -0.56, -0.10, 0.01, 0.04
9.82, -0.32, 0.29, -0.08, 0.34, 0.01
10.45, -0.38, 1.35, -0.08, 0.35, -0.02
10.42, -0.28, 1.38, -0.09, 0.26, -0.02
10.32, -0.27, 1.13, -0.09, 0.12, -0.01
10.35, -0.24, 1.26, -0.09, -0.02, -0.00
10.61, -0.21, 1.63, -0.10, -0.17, -0.00
10.45, -0.24, 1.34, -0.11, -0.36, 0.03
9.20, -0.32, -0.34, -0.10, -0.28, 0.06
9.15, -0.31, -0.50, -0.09, 0.13, 0.05
10.07, -0.45, 0.72, -0.08, 0.38, 0.01
10.31, -0.32, 1.03, -0.08, 0.30, 0.00
10.45, -0.29, 1.48, -0.09, 0.21, -0.02
10.40, -0.28, 1.40, -0.09, 0.09, -0.02
10.35, -0.27, 1.30, -0.10, -0.07, -0.02
10.67, -0.24, 1.71, -0.10, -0.23, 0.01
10.22, -0.28, 1.01, -0.11, -0.39, 0.05
9.09, -0.36, -0.57, -0.10, -0.17, 0.06
9.36, -0.51, -0.23, -0.09, 0.23, 0.04
10.28, -0.28, 1.02, -0.08, 0.39, 0.01
10.42, -0.29, 1.27, -0.08, 0.32, -0.02
10.33, -0.25, 1.19, -0.09, 0.16, -0.03
10.39, -0.25, 1.40, -0.09, 0.05, -0.03
10.41, -0.24, 1.39, -0.10, -0.10, -0.01
10.68, -0.26, 1.69, -0.10, -0.29, 0.03
9.75, -0.35, 0.33, -0.11, -0.37, 0.07
9.03, -0.35, -0.63, -0.10, -0.05, 0.06
9.66, -0.32, 0.12, -0.08, 0.31, 0.02
10.47, -0.37, 1.39, -0.08, 0.35, -0.01
10.36, -0.24, 1.20, -0.09, 0.28, -0.03
10.29, -0.27, 1.07, -0.09, 0.13, -0.04
10.33, -0.22, 1.25, -0.09, -0.02, -0.02
10.53, -0.22, 1.57, -0.10, -0.14, 0.02
10.54, -0.24, 1.51, -0.11, -0.34, 0.06
9.42, -0.27, -0.10, -0.11, -0.32, 0.07
9.18, -0.32, -0.51, -0.09, 0.06, 0.04
9.89, -0.40, 0.42, -0.08, 0.36, 0.01
10.39, -0.29, 1.22, -0.08, 0.31, -0.03
10.47, -0.32, 1.46, -0.09, 0.23, -0.03
10.41, -0.28, 1.36, -0.09, 0.09, -0.02
10.32, -0.26, 1.23, -0.09, -0.05, 0.00
10.64, -0.22, 1.68, -0.10, -0.20, 0.03
10.29, -0.27, 1.07, -0.11, -0.39, 0.07
9.15, -0.33, -0.46, -0.10, -0.23, 0.06
9.25, -0.40, -0.40, -0.09, 0.17, 0.03
10.32, -0.27, 1.03, -0.08, 0.39, -0.02
10.25, -0.36, 0.94, -0.08, 0.29, -0.03
10.42, -0.25, 1.38, -0.09, 0.18, -0.03
10.43, -0.23, 1.43, -0.09, 0.04, -0.00
10.39, -0.23, 1.34, -0.10, -0.08, 0.01
10.69, -0.23, 1.71, -0.10, -0.26, 0.04
10.01, -0.34, 0.65, -0.11, -0.39, 0.06
9.02, -0.33, -0.66, -0.10, -0.11, 0.05
9.69, -0.30, 0.13, -0.08, 0.31, 0.01
10.47, -0.35, 1.31, -0.08, 0.37, -0.01
10.33, -0.31, 1.04, -0.08, 0.29, -0.03
10.31, -0.30, 1.09, -0.09, 0.13, -0.02
10.38, -0.28, 1.32, -0.09, -0.00, -0.01
10.47, -0.27, 1.50, -0.10, -0.12, 0.00
10.55, -0.26, 1.48, -0.11, -0.35, 0.03
9.57, -0.30, 0.13, -0.11, -0.35, 0.05
9.10, -0.33, -0.55, -0.10, 0.00, 0.05
9.90, -0.40, 0.46, -0.08, 0.37, 0.02
10.47, -0.32, 1.36, -0.08, 0.33, -0.00
10.45, -0.28, 1.36, -0.08, 0.26, -0.02
10.36, -0.26, 1.25, -0.09, 0.11, -0.02
10.33, -0.25, 1.25, -0.09, -0.03, -0.02
10.60, -0.22, 1.65, -0.10, -0.17, -0.00
10.32, -0.25, 1.15, -0.11, -0.38, 0.04
9.24, -0.31, -0.32, -0.11, -0.28, 0.06
9.23, -0.41, -0.40, -0.09, 0.18, 0.05
10.19, -0.40, 0.87, -0.08, 0.39, 0.01
10.31, -0.33, 1.06, -0.08, 0.30, -0.00
10.41, -0.27, 1.36, -0.09, 0.18, -0.03
10.40, -0.25, 1.44, -0.09, 0.07, -0.04
10.35, -0.25, 1.29, -0.09, -0.06, -0.02
10.67, -0.26, 1.72, -0.10, -0.25, 0.03
10.15, -0.30, 0.92, -0.11, -0.39, 0.06
9.09, -0.35, -0.53, -0.10, -0.18, 0.06
9.53, -0.42, -0.08, -0.09, 0.27, 0.03
10.39, -0.25, 1.19, -0.08, 0.38, 0.01
10.26, -0.36, 0.94, -0.08, 0.29, -0.01
10.30, -0.28, 1.13, -0.09, 0.14, -0.04
10.42, -0.24, 1.41, -0.09, 0.02, -0.04
10.47, -0.23, 1.50, -0.10, -0.12, 0.00
10.64, -0.24, 1.62, -0.11, -0.31, 0.05
9.80, -0.34, 0.38, -0.11, -0.38, 0.07
9.09, -0.34, -0.54, -0.10, 0.01, 0.05
9.78, -0.32, 0.27, -0.08, 0.34, 0.01
10.48, -0.38, 1.33, -0.08, 0.35, -0.01
10.43, -0.28, 1.34, -0.08, 0.26, -0.03
10.32, -0.26, 1.13, -0.09, 0.12, -0.03
10.35, -0.24, 1.27, -0.09, -0.02, -0.02
10.60, -0.22, 1.61, -0.10, -0.17, 0.03
10.48, -0.27, 1.36, -0.11, -0.36, 0.06
9.47, -0.28, -0.03, -0.11, -0.33, 0.07
9.16, -0.28, -0.52, -0.09, 0.12, 0.03
10.03, -0.45, 0.63, -0.08, 0.38, -0.01
10.31, -0.29, 1.04, -0.08, 0.30, -0.02
10.45, -0.28, 1.48, -0.09, 0.21, -0.02
10.36, -0.24, 1.34, -0.09, 0.10, -0.02
10.33, -0.23, 1.27, -0.09, -0.06, 0.01
10.64, -0.23, 1.71, -0.10, -0.23, 0.04
10.24, -0.27, 1.02, -0.11, -0.39, 0.06
9.08, -0.34, -0.54, -0.10, -0.18, 0.05
9.34, -0.48, -0.24, -0.09, 0.22, 0.02
10.27, -0.32, 0.97, -0.08, 0.39, -0.02
10.28, -0.41, 0.97, -0.08, 0.29, -0.02
10.37, -0.29, 1.28, -0.09, 0.16, -0.02
10.43, -0.26, 1.43, -0.09, 0.05, -0.00
10.42, -0.24, 1.38, -0.10, -0.10, 0.01
10.70, -0.26, 1.69, -0.11, -0.29, 0.03
10.04, -0.32, 0.72, -0.11, -0.39, 0.06
8.98, -0.33, -0.68, -0.10, -0.06, 0.05
9.60, -0.32, 0.07, -0.08, 0.31, 0.01
10.46, -0.37, 1.37, -0.08, 0.36, 0.00
10.35, -0.27, 1.17, -0.08, 0.28, -0.02
10.30, -0.29, 1.11, -0.09, 0.14, -0.02
10.33, -0.28, 1.30, -0.09, -0.02, -0.01
10.51, -0.26, 1.58, -0.10, -0.13, 0.00
10.57, -0.26, 1.55, -0.11, -0.33, 0.03
9.42, -0.29, -0.09, -0.11, -0.32, 0.06
9.16, -0.30, -0.50, -0.09, 0.06, 0.05
9.90, -0.36, 0.47, -0.08, 0.35, 0.02
10.39, -0.28, 1.22, -0.08, 0.31, -0.00
10.42, -0.30, 1.48, -0.09, 0.24, -0.02
10.31, -0.27, 1.21, -0.09, 0.11, -0.02
10.31, -0.26, 1.24, -0.09, -0.04, -0.03
10.62, -0.22, 1.67, -0.10, -0.19, 0.00
10.27, -0.25, 1.10, -0.11, -0.38, 0.06
9.17, -0.34, -0.43, -0.10, -0.24, 0.07
9.24, -0.36, -0.45, -0.09, 0.16, 0.06
10.30, -0.28, 0.98, -0.08, 0.39, 0.00
10.26, -0.37, 0.95, -0.08, 0.29, -0.01
10.41, -0.25, 1.37, -0.09, 0.19, -0.03
10.41, -0.23, 1.40, -0.09, 0.05, -0.04
10.37, -0.22, 1.28, -0.10, -0.07, -0.02
10.68, -0.22, 1.68, -0.10, -0.24, 0.02
10.07, -0.31, 0.76, -0.11, -0.39, 0.08
9.06, -0.32, -0.62, -0.10, -0.13, 0.07
9.47, -0.45, -0.10, -0.08, 0.26, 0.04
10.45, -0.31, 1.29, -0.08, 0.37, -0.01
10.30, -0.30, 1.03, -0.08, 0.28, -0.03
10.32, -0.27, 1.15, -0.09, 0.15, -0.04
10.37, -0.25, 1.33, -0.09, 0.00, -0.03
10.45, -0.24, 1.43, -0.10, -0.11, 0.00
10.58, -0.26, 1.53, -0.11, -0.33, 0.05
9.74, -0.28, 0.29, -0.11, -0.36, 0.07
9.10, -0.34, -0.59, -0.10, -0.01, 0.05
9.90, -0.37, 0.44, -0.08, 0.35, -0.00
10.45, -0.31, 1.32, -0.08, 0.33, -0.02
10.41, -0.27, 1.29, -0.08, 0.26, -0.03
10.34, -0.26, 1.21, -0.09, 0.11, -0.02
10.33, -0.26, 1.23, -0.09, -0.03, -0.00
10.56, -0.23, 1.59, -0.10, -0.16, 0.02
10.36, -0.28, 1.19, -0.11, -0.37, 0.05
9.30, -0.31, -0.25, -0.11, -0.30, 0.06
9.14, -0.30, -0.53, -0.09, 0.10, 0.03
10.15, -0.43, 0.80, -0.08, 0.38, -0.01
10.44, -0.31, 1.27, -0.08, 0.32, -0.02
10.42, -0.27, 1.41, -0.09, 0.19, -0.01
10.38, -0.25, 1.43, -0.09, 0.08, -0.01
10.32, -0.24, 1.26, -0.10, -0.05, 0.01
10.64, -0.22, 1.68, -0.10, -0.24, 0.03
10.22, -0.27, 1.01, -0.11, -0.38, 0.05
9.15, -0.33, -0.48, -0.10, -0.20, 0.05
9.47, -0.44, -0.15, -0.09, 0.25, 0.02
10.35, -0.27, 1.11, -0.08, 0.38, -0.01
10.25, -0.38, 0.92, -0.08, 0.28, -0.01
10.31, -0.28, 1.15, -0.09, 0.15, -0.01
10.40, -0.25, 1.40, -0.09, 0.03, -0.00
10.40, -0.23, 1.35, -0.10, -0.09, 0.01
10.65, -0.26, 1.65, -0.11, -0.30, 0.03
9.93, -0.36, 0.56, -0.11, -0.38, 0.05
9.06, -0.35, -0.59, -0.10, -0.02, 0.05
9.76, -0.28, 0.23, -0.08, 0.32, 0.02
10.46, -0.37, 1.32, -0.08, 0.36, 0.01
10.41, -0.27, 1.26, -0.08, 0.27, -0.03
10.30, -0.29, 1.10, -0.09, 0.13, -0.03
10.36, -0.27, 1.28, -0.09, -0.01, -0.01
10.58, -0.24, 1.58, -0.10, -0.15, 0.00
10.49, -0.26, 1.40, -0.11, -0.34, 0.04
9.58, -0.28, 0.08, -0.11, -0.34, 0.05
9.15, -0.30, -0.51, -0.09, 0.09, 0.06
9.95, -0.42, 0.56, -0.08, 0.36, 0.03
10.43, -0.29, 1.29, -0.08, 0.32, -0.00
10.45, -0.28, 1.45, -0.09, 0.22, -0.04
10.35, -0.25, 1.26, -0.09, 0.10, -0.04
10.31, -0.26, 1.19, -0.09, -0.04, -0.03
10.61, -0.23, 1.63, -0.10, -0.20, 0.02
10.31, -0.27, 1.13, -0.11, -0.37, 0.06
9.12, -0.37, -0.46, -0.10, -0.21, 0.07
9.30, -0.42, -0.33, -0.09, 0.19, 0.05
10.26, -0.35, 0.94, -0.08, 0.38, 0.00
10.26, -0.37, 0.93, -0.08, 0.28, -0.03
10.39, -0.27, 1.31, -0.09, 0.17, -0.04
10.41, -0.25, 1.45, -0.09, 0.06, -0.04
10.39, -0.25, 1.36, -0.10, -0.08, -0.01
10.67, -0.26, 1.69, -0.10, -0.25, 0.04
10.18, -0.30, 0.96, -0.11, -0.38, 0.08
8.99, -0.34, -0.66, -0.10, -0.10, 0.06
9.53, -0.38, -0.01, -0.09, 0.27, 0.02
10.37, -0.28, 1.19, -0.08, 0.37, -0.01
10.30, -0.28, 1.07, -0.08, 0.28, -0.03
10.29, -0.29, 1.12, -0.09, 0.14, -0.03
10.35, -0.26, 1.27, -0.09, -0.00, -0.01
10.49, -0.23, 1.47, -0.10, -0.12, 0.01
10.63, -0.24, 1.58, -0.10, -0.31, 0.05
9.63, -0.29, 0.11, -0.11, -0.34, 0.06
9.14, -0.34, -0.54, -0.10, 0.01, 0.04
9.81, -0.30, 0.32, -0.08, 0.34, -0.00
10.41, -0.31, 1.29, -0.08, 0.32, -0.02
10.42, -0.28, 1.36, -0.09, 0.25, -0.02
